epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
80,25179.1,1.11546,0.92155,1.21141,0.85034,0.7422,0.83678,0.60089,0.8807,0.61739,1.10762,0.0244136,0.00813786,0.0244136,0.00813786,0.0244136,0.00813786,0.0244136,0.00813786
81,25484.4,1.11533,0.91851,1.21224,0.85111,0.74206,0.83686,0.60124,0.88001,0.61644,1.10689,0.0243429,0.00811429,0.0243429,0.00811429,0.0243429,0.00811429,0.0243429,0.00811429
82,25789.2,1.11611,0.91868,1.21032,0.85053,0.74259,0.83696,0.60156,0.87948,0.61595,1.10663,0.0242721,0.00809071,0.0242721,0.00809071,0.0242721,0.00809071,0.0242721,0.00809071
83,26093.1,1.11419,0.91944,1.21002,0.85115,0.74177,0.83705,0.60188,0.87883,0.61576,1.10629,0.0242014,0.00806714,0.0242014,0.00806714,0.0242014,0.00806714,0.0242014,0.00806714
84,26395.4,1.11345,0.91662,1.2112,0.85089,0.74209,0.83724,0.60211,0.87841,0.61556,1.10606,0.0241307,0.00804357,0.0241307,0.00804357,0.0241307,0.00804357,0.0241307,0.00804357
85,26698.9,1.11336,0.91573,1.20915,0.85169,0.74259,0.83755,0.6023,0.87794,0.61543,1.10562,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
86,27004,1.11426,0.91521,1.20844,0.8508,0.74259,0.83767,0.60249,0.87714,0.61507,1.10505,0.0239893,0.00799643,0.0239893,0.00799643,0.0239893,0.00799643,0.0239893,0.00799643
87,27308.9,1.11085,0.91403,1.2077,0.85173,0.74261,0.83784,0.60307,0.87676,0.61514,1.10469,0.0239186,0.00797286,0.0239186,0.00797286,0.0239186,0.00797286,0.0239186,0.00797286
88,27616.8,1.11222,0.91776,1.21011,0.85159,0.74258,0.8386,0.60313,0.87655,0.61518,1.10456,0.0238479,0.00794929,0.0238479,0.00794929,0.0238479,0.00794929,0.0238479,0.00794929
89,27919.1,1.11401,0.91505,1.20924,0.85054,0.74259,0.83851,0.60337,0.87631,0.615,1.10463,0.0237771,0.00792571,0.0237771,0.00792571,0.0237771,0.00792571,0.0237771,0.00792571
90,28223.5,1.11385,0.91767,1.20818,0.85078,0.7435,0.83802,0.60335,0.87598,0.61498,1.10417,0.0237064,0.00790214,0.0237064,0.00790214,0.0237064,0.00790214,0.0237064,0.00790214
91,28526.7,1.11239,0.91354,1.20809,0.85152,0.74336,0.83794,0.60348,0.8757,0.61495,1.10407,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857
92,28830.8,1.11276,0.91635,1.20986,0.84885,0.74549,0.83767,0.60358,0.87581,0.61517,1.10417,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
93,29136.3,1.11066,0.91341,1.20849,0.8498,0.74395,0.83843,0.6037,0.87594,0.61503,1.10437,0.0234943,0.00783143,0.0234943,0.00783143,0.0234943,0.00783143,0.0234943,0.00783143
94,29436,1.11003,0.91555,1.20805,0.85205,0.7425,0.83855,0.60358,0.87614,0.61544,1.10441,0.0234236,0.00780786,0.0234236,0.00780786,0.0234236,0.00780786,0.0234236,0.00780786
95,29744.4,1.10976,0.9126,1.20785,0.85175,0.74313,0.83833,0.60346,0.87606,0.61571,1.1043,0.0233529,0.00778429,0.0233529,0.00778429,0.0233529,0.00778429,0.0233529,0.00778429
96,30062.1,1.11177,0.91704,1.20784,0.84851,0.74462,0.83837,0.60316,0.87598,0.61574,1.10428,0.0232821,0.00776071,0.0232821,0.00776071,0.0232821,0.00776071,0.0232821,0.00776071
97,30366.9,1.11013,0.91212,1.20752,0.84674,0.74658,0.83767,0.60347,0.87598,0.61571,1.10419,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714
98,30672.4,1.11118,0.91526,1.20767,0.84813,0.74671,0.83771,0.6034,0.87557,0.61555,1.10391,0.0231407,0.00771357,0.0231407,0.00771357,0.0231407,0.00771357,0.0231407,0.00771357
99,30974.4,1.11075,0.91407,1.20726,0.84671,0.74685,0.83835,0.60355,0.87534,0.61553,1.10362,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
100,31276.3,1.11016,0.91087,1.20536,0.84671,0.74653,0.83819,0.60347,0.87515,0.61602,1.10324,0.0229993,0.00766643,0.0229993,0.00766643,0.0229993,0.00766643,0.0229993,0.00766643
101,31574.7,1.10776,0.9123,1.20654,0.84724,0.74658,0.83856,0.60363,0.87519,0.61611,1.10324,0.0229286,0.00764286,0.0229286,0.00764286,0.0229286,0.00764286,0.0229286,0.00764286
102,31876.3,1.10795,0.90971,1.20509,0.84768,0.74666,0.83868,0.60376,0.87532,0.6154,1.10327,0.0228579,0.00761929,0.0228579,0.00761929,0.0228579,0.00761929,0.0228579,0.00761929
103,32176.6,1.10822,0.90939,1.20705,0.84776,0.7478,0.83905,0.60388,0.87539,0.61513,1.10316,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571
104,32483.2,1.10854,0.90914,1.20426,0.84818,0.74821,0.83908,0.60387,0.87516,0.61423,1.10303,0.0227164,0.00757214,0.0227164,0.00757214,0.0227164,0.00757214,0.0227164,0.00757214
105,32784.7,1.10889,0.91295,1.20648,0.84843,0.74762,0.83916,0.6039,0.87469,0.61398,1.10308,0.0226457,0.00754857,0.0226457,0.00754857,0.0226457,0.00754857,0.0226457,0.00754857
106,33089.9,1.10718,0.91026,1.20545,0.84723,0.74806,0.83941,0.60397,0.87448,0.6135,1.10277,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
107,33395.6,1.10749,0.9101,1.2056,0.84869,0.74626,0.8393,0.60413,0.87412,0.61351,1.10263,0.0225043,0.00750143,0.0225043,0.00750143,0.0225043,0.00750143,0.0225043,0.00750143
108,33701.2,1.10726,0.91101,1.2056,0.84891,0.74544,0.83933,0.60423,0.87453,0.61315,1.10307,0.0224336,0.00747786,0.0224336,0.00747786,0.0224336,0.00747786,0.0224336,0.00747786
109,34006.9,1.10581,0.90859,1.20478,0.84948,0.7454,0.83939,0.60426,0.87453,0.6127,1.10294,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429
110,34308,1.10639,0.91059,1.20379,0.84972,0.74476,0.83938,0.60416,0.87423,0.61265,1.10277,0.0222921,0.00743071,0.0222921,0.00743071,0.0222921,0.00743071,0.0222921,0.00743071
111,34608.8,1.10577,0.90619,1.20307,0.8497,0.74544,0.83954,0.60436,0.87356,0.61214,1.10209,0.0222214,0.00740714,0.0222214,0.00740714,0.0222214,0.00740714,0.0222214,0.00740714
112,34918.9,1.10603,0.90598,1.20405,0.84929,0.74558,0.83887,0.60429,0.87344,0.61164,1.10186,0.0221507,0.00738357,0.0221507,0.00738357,0.0221507,0.00738357,0.0221507,0.00738357
113,35222,1.10626,0.90564,1.20399,0.84996,0.74513,0.83958,0.60455,0.8733,0.61147,1.10171,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
114,35522.5,1.10548,0.90564,1.20332,0.84855,0.74535,0.83978,0.60478,0.87314,0.61128,1.10171,0.0220093,0.00733643,0.0220093,0.00733643,0.0220093,0.00733643,0.0220093,0.00733643
115,35822.6,1.10344,0.90718,1.20252,0.84782,0.74572,0.83981,0.60486,0.87213,0.61159,1.10097,0.0219386,0.00731286,0.0219386,0.00731286,0.0219386,0.00731286,0.0219386,0.00731286
116,36126.3,1.10372,0.90433,1.20234,0.84733,0.7459,0.83991,0.60478,0.8717,0.6116,1.10045,0.0218679,0.00728929,0.0218679,0.00728929,0.0218679,0.00728929,0.0218679,0.00728929
117,36427.8,1.1043,0.90669,1.20451,0.84938,0.74481,0.83999,0.60489,0.87163,0.61102,1.10064,0.0217971,0.00726571,0.0217971,0.00726571,0.0217971,0.00726571,0.0217971,0.00726571
118,36728.8,1.10386,0.90544,1.20229,0.84901,0.7449,0.83957,0.60491,0.87131,0.61124,1.10053,0.0217264,0.00724214,0.0217264,0.00724214,0.0217264,0.00724214,0.0217264,0.00724214
119,37028.4,1.10382,0.90645,1.20273,0.84767,0.74535,0.83937,0.60498,0.87128,0.61142,1.10052,0.0216557,0.00721857,0.0216557,0.00721857,0.0216557,0.00721857,0.0216557,0.00721857
120,37323.6,1.10418,0.9036,1.20242,0.84726,0.74626,0.83931,0.60486,0.87121,0.61122,1.10047,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
121,37620.4,1.10189,0.90424,1.20164,0.84787,0.74499,0.83928,0.605,0.87034,0.61128,1.10004,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143
122,37917.2,1.10478,0.90506,1.20231,0.8494,0.74463,0.83954,0.60508,0.8698,0.6116,1.0996,0.0214436,0.00714786,0.0214436,0.00714786,0.0214436,0.00714786,0.0214436,0.00714786
123,38215.2,1.10198,0.90212,1.20238,0.84802,0.74662,0.83998,0.60548,0.86954,0.61112,1.0994,0.0213729,0.00712429,0.0213729,0.00712429,0.0213729,0.00712429,0.0213729,0.00712429
124,38509.4,1.10307,0.90222,1.20339,0.8501,0.74458,0.84003,0.60552,0.869,0.61113,1.09923,0.0213021,0.00710071,0.0213021,0.00710071,0.0213021,0.00710071,0.0213021,0.00710071
125,38807.8,1.10243,0.90296,1.20033,0.84841,0.74657,0.84003,0.60564,0.8688,0.61111,1.09908,0.0212314,0.00707714,0.0212314,0.00707714,0.0212314,0.00707714,0.0212314,0.00707714
126,39102.3,1.10195,0.90057,1.20039,0.84849,0.74657,0.84039,0.60584,0.86891,0.61069,1.09918,0.0211607,0.00705357,0.0211607,0.00705357,0.0211607,0.00705357,0.0211607,0.00705357
127,39401.2,1.10202,0.90174,1.20138,0.84976,0.74622,0.84046,0.60569,0.86899,0.61035,1.09925,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
128,39696.5,1.10207,0.9035,1.19826,0.84817,0.7464,0.84021,0.60551,0.86931,0.61012,1.09941,0.0210193,0.00700643,0.0210193,0.00700643,0.0210193,0.00700643,0.0210193,0.00700643
129,39989,1.10149,0.90342,1.19973,0.84952,0.74608,0.84031,0.60565,0.86888,0.60985,1.09918,0.0209486,0.00698286,0.0209486,0.00698286,0.0209486,0.00698286,0.0209486,0.00698286
130,40283.5,1.09967,0.89861,1.19895,0.8481,0.7473,0.84054,0.60605,0.8685,0.60932,1.09862,0.0208779,0.00695929,0.0208779,0.00695929,0.0208779,0.00695929,0.0208779,0.00695929
